time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0066953;-0.470756;9.35791;
0.0066963;-0.471805;9.38045;
0.0066973;-0.472836;9.40261;
0.0066983;-0.473848;9.42441;
0.0066993;-0.474841;9.44584;
0.0067003;-0.475816;9.4669;
0.0067013;-0.476772;9.48759;
0.0067023;-0.477709;9.5079;
0.0067033;-0.478627;9.52784;
0.0067043;-0.479526;9.54741;
0.0067053;-0.480406;9.5666;
0.0067063;-0.481268;9.58542;
0.0067073;-0.48211;9.60386;
0.0067083;-0.482934;9.62192;
0.0067093;-0.483738;9.63961;
0.0067103;-0.484523;9.65692;
0.0067113;-0.485289;9.67385;
0.0067123;-0.486036;9.6904;
0.0067133;-0.486764;9.70656;
0.0067143;-0.487472;9.72235;
0.0067153;-0.488161;9.73776;
0.0067163;-0.488831;9.75278;
0.0067173;-0.489482;9.76742;
0.0067183;-0.490113;9.78168;
0.0067193;-0.490725;9.79555;
0.0067203;-0.491318;9.80904;
0.0067213;-0.491891;9.82215;
0.0067223;-0.492445;9.83487;
0.0067233;-0.492979;9.8472;
0.0067243;-0.493494;9.85914;
0.0067253;-0.493989;9.8707;
0.0067263;-0.494465;9.88187;
0.0067273;-0.494922;9.89265;
0.0067283;-0.495359;9.90305;
0.0067293;-0.495776;9.91305;
0.0067303;-0.496174;9.92267;
0.0067313;-0.496552;9.93189;
0.0067323;-0.49691;9.94073;
0.0067333;-0.497249;9.94918;
0.0067343;-0.497568;9.95723;
0.0067353;-0.497868;9.96489;
0.0067363;-0.498148;9.97217;
0.0067373;-0.498408;9.97905;
0.0067383;-0.498649;9.98553;
0.0067393;-0.49887;9.99163;
0.0067403;-0.499071;9.99733;
0.0067413;-0.499253;10.0026;
0.0067423;-0.499415;10.0076;
0.0067433;-0.499557;10.0121;
0.0067443;-0.499679;10.0162;
0.0067453;-0.499782;10.02;
0.0067463;-0.499865;10.0233;
0.0067473;-0.499928;10.0262;
0.0067483;-0.499971;10.0288;
0.0067493;-0.499995;10.031;
0.0067503;-0.499999;10.0327;
0.0067513;-0.499983;10.0341;
0.0067523;-0.499948;10.0351;
0.0067533;-0.499893;10.0357;
0.0067543;-0.499818;10.0359;
0.0067553;-0.499723;10.0357;
0.0067563;-0.499609;10.0351;
